batter_id,full_name,team_name
807799,"yoshida, masataka",BOS
807713,"shaw, matt",CHC
805249,"kemp, otto",PHI
800050,"delauter, chase",CLE
702332,"durbin, caleb",MIL
701538,"merrill, jackson",SD
701398,"stewart, sal",CIN
700932,"manzardo, kyle",CLE
700250,"rice, ben",NYY
695670,"ford, harry",SEA
694388,"loperfido, joey",TOR
694208,"ballesteros, moisés",CHC
694192,"chourio, jackson",MIL
693307,"dingler, dillon",DET
692216,"kayfus, c. j.",CLE
691718,"crow-armstrong, pete",CHC
691176,"domínguez, jasson",NYY
690993,"keith, colt",DET
687401,"ortiz, joey",MIL
687221,"rushing, dalton",LAD
686765,"sogard, nick",BOS
686555,"collins, isaac",MIL
686527,"canzone, dominic",SEA
686217,"frelick, sal",MIL
683737,"busch, michael",CHC
683734,"vaughn, andrew",MIL
683011,"volpe, anthony",NYY
682985,"greene, riley",DET
682829,"de la cruz, elly",CIN
682657,"martínez, angel",CLE
682622,"marte, noelvi",CIN
682177,"schneemann, daniel",CLE
681987,"eaton, nate",BOS
681624,"pages, andy",LAD
681481,"carpenter, kerry",DET
681082,"stott, bryson",PHI
680776,"duran, jarren",BOS
680757,"kwan, steven",CLE
680718,"barger, addison",TOR
680574,"mclain, matt",CIN
679529,"torkelson, spencer",DET
678882,"rafaela, ceddanne",BOS
678877,"noel, jhonkensy",CLE
678009,"meadows, parker",DET
677800,"abreu, wilyer",BOS
677594,"rodríguez, julio",SEA
677587,"rocchio, brayan",CLE
676914,"schneider, davis",TOR
676609,"caballero, josé",NYY
676391,"clement, ernie",TOR
673548,"suzuki, seiya",CHC
672761,"pérez, wenceel",DET
672386,"kirk, alejandro",TOR
672356,"arias, gabriel",CLE
671655,"valera, george",CLE
671286,"rodríguez, johnathan",CLE
670770,"friedl, tj",CIN
670156,"mastrobuoni, miles",SEA
670042,"raley, luke",SEA
669743,"call, alex",LAD
669720,"hays, austin",CIN
669369,"johnson, bryce",SD
669257,"smith, will",LAD
669242,"edman, tommy",LAD
669234,"malloy, justyn-henry",DET
669224,"wells, austin",NYY
669016,"marsh, brandon",PHI
668930,"turang, brice",MIL
668715,"steer, spencer",CIN
668670,"rogers, jake",DET
668227,"arozarena, randy",SEA
666310,"naylor, bo",CLE
666182,"bichette, bo",TOR
666181,"benson, will",CIN
666163,"rortvedt, ben",LAD
666158,"lux, gavin",CIN
666023,"fermin, freddy",SD
665966,"narváez, carlos",BOS
665926,"giménez, andrés",TOR
665862,"chisholm, jazz",NYY
665489,"guerrero, vladimir",TOR
665487,"tatís, fernando",SD
664770,"lukes, nathan",TOR
664761,"bohm, alec",PHI
664702,"straw, myles",TOR
664056,"bader, harrison",PHI
664034,"france, ty",TOR
664023,"happ, ian",CHC
663993,"lowe, nathaniel",BOS
663886,"stephenson, tyler",CIN
663853,"gonzalez, romy",BOS
663757,"grisham, trent",NYY
663728,"raleigh, cal",SEA
663656,"tucker, kyle",CHC
663647,"hayes, ke'bryan",CIN
663604,"lockridge, brandon",MIL
663538,"hoerner, nico",CHC
663368,"perkins, blake",MIL
663330,"jones, jahmai",DET
662139,"varsho, daulton",TOR
661388,"contreras, william",MIL
660844,"rivas, leo",SEA
660271,"ohtani, shohei",LAD
657757,"sheets, gavin",SD
656941,"schwarber, kyle",PHI
656811,"o'hearn, ryan",SD
656716,"mckinstry, zach",DET
655316,"monasterio, andruw",MIL
650402,"torres, gleyber",DET
650333,"arráez, luis",SD
647304,"naylor, josh",SEA
645302,"robles, víctor",SEA
643396,"kiner-falefa, isiah",TOR
642708,"rosario, amed",NYY
641857,"mcmahon, ryan",NYY
641598,"garver, mitch",SEA
641487,"crawford, j. p.",SEA
641355,"bellinger, cody",NYY
641343,"bauers, jake",MIL
630105,"cronenworth, jake",SD
628451,"ibáñez, andy",DET
624641,"sosa, edmundo",PHI
623993,"santander, anthony",TOR
623168,"heineman, tyler",TOR
621020,"swanson, dansby",CHC
609280,"andújar, miguel",CIN
608701,"refsnyder, rob",BOS
608348,"kelly, carson",CHC
608324,"bregman, alex",BOS
608070,"ramírez, josé",CLE
607208,"turner, trea",PHI
606192,"hernández, teoscar",LAD
605141,"betts, mookie",LAD
596146,"kepler, max",PHI
596115,"story, trevor",BOS
595978,"hedges, austin",CLE
595879,"báez, javier",DET
593871,"polanco, jorge",SEA
593428,"bogaerts, xander",SD
592885,"yelich, christian",MIL
592663,"realmuto, j. t.",PHI
592518,"machado, manny",SD
592450,"judge, aaron",NYY
592206,"castellanos, nick",PHI
578428,"iglesias, jose",SD
571970,"muncy, max",LAD
571771,"hernández, enrique",LAD
553993,"suárez, eugenio",SEA
547180,"harper, bryce",PHI
543807,"springer, george",TOR
519317,"stanton, giancarlo",NYY
518692,"freeman, freddie",LAD
502671,"goldschmidt, paul",NYY
500743,"rojas, miguel",LAD
457759,"turner, justin",CHC
