pitcher_id,full_name,team_name
813349,"early, connelly",BOS
808967,"yamamoto, yoshinobu",LAD
808963,"sasaki, roki",LAD
801139,"tolle, payton",BOS
702056,"yesavage, trey",TOR
701542,"warren, will",NYY
695505,"burns, chase",CIN
695243,"miller, mason",SD
694819,"misiorowski, jacob",MIL
694477,"patrick, chad",MIL
694361,"klein, will",LAD
694037,"palencia, daniel",CHC
693645,"schlittler, cam",NYY
693433,"woo, bryan",SEA
689254,"fluharty, mason",TOR
689147,"kerkering, orion",PHI
688158,"morgan, david",SD
688107,"gasser, robert",MIL
686973,"varland, louis",TOR
686580,"slaten, justin",BOS
686218,"sheehan, emmet",LAD
684320,"rodríguez, yariel",TOR
684007,"imanaga, shota",CHC
683769,"gaddis, hunter",CLE
683618,"henriquez, edgardo",LAD
683232,"mears, nick",MIL
683175,"phillips, connor",CIN
682990,"priester, quinn",MIL
682842,"uribe, abner",MIL
682243,"miller, bryce",SEA
682120,"herrin, tim",CLE
681982,"anderson, grant",MIL
681911,"vesia, alex",LAD
681870,"sabrowski, erik",CLE
680755,"fisher, braydon",TOR
680736,"wrobleski, justin",LAD
678394,"bello, brayan",BOS
677944,"cecconi, slade",CLE
677865,"bruihl, justin",TOR
677161,"kelly, zack",BOS
676979,"crochet, garrett",BOS
676962,"brown, ben",CHC
676879,"ashby, aaron",MIL
676684,"vest, will",DET
676477,"whitlock, garrett",BOS
676440,"bibee, tanner",CLE
676428,"hurter, brant",DET
676282,"cantillo, joey",CLE
676263,"dreyer, jack",LAD
676106,"hancock, emerson",SEA
675512,"melton, troy",DET
672841,"vargas, carlos",SEA
672456,"montero, keider",DET
671922,"smith, cade",CLE
670970,"morejón, adrián",SD
670280,"bednar, david",NYY
670036,"festa, matt",CLE
669923,"kirby, george",SEA
669724,"hanifee, brenan",DET
669711,"weissert, greg",BOS
669456,"bieber, shane",TOR
669373,"skubal, tarik",DET
669302,"gilbert, logan",SEA
669093,"estrada, jeremiah",SD
668964,"myers, tobias",MIL
668933,"ashcraft, graham",CIN
668909,"williams, gavin",CLE
668881,"greene, hunter",CIN
667297,"nance, tommy",TOR
666808,"doval, camilo",NYY
666374,"brash, matt",SEA
666200,"luzardo, jesús",PHI
666157,"lodolo, nick",CIN
663947,"holton, tyler",DET
663893,"little, brendon",TOR
663574,"santillan, tony",CIN
663554,"mize, casey",DET
663158,"suarez, robert",SD
662253,"muñoz, andrés",SEA
661563,"gil, luis",NYY
661395,"durán, jhoan",PHI
660825,"bazardo, eduard",SEA
660271,"ohtani, shohei",LAD
657649,"koenig, jared",MIL
657612,"hill, tim",NYY
657571,"ferguson, caleb",SEA
656730,"megill, trevor",MIL
656546,"hoffman, jeff",TOR
656427,"flaherty, jack",DET
656302,"cease, dylan",SD
650911,"sánchez, cristopher",PHI
650644,"civale, aaron",CHC
650633,"king, mike",SD
647336,"soroka, michael",CHC
642547,"peralta, freddy",MIL
642207,"williams, devin",NYY
642100,"speier, gabe",SEA
641793,"littell, zack",CIN
641778,"lauer, eric",TOR
641745,"keller, brad",CHC
640448,"finnegan, kyle",DET
624133,"suárez, ranger",PHI
622554,"domínguez, seranthony",TOR
622491,"castillo, luis",SEA
621383,"banks, tanner",PHI
621381,"strahm, matt",PHI
621112,"blackburn, paul",NYY
608718,"suter, brent",CIN
608331,"fried, max",NYY
607455,"banda, anthony",LAD
607259,"martínez, nick",CIN
607192,"glasnow, tyler",LAD
607074,"rodón, carlos",NYY
607067,"rea, colin",CHC
606160,"montero, rafael",DET
605483,"snell, blake",LAD
605400,"nola, aaron",PHI
605135,"bassitt, chris",TOR
605130,"barlow, scott",CIN
601713,"pivetta, nick",SD
596133,"weaver, luke",NYY
596001,"junis, jakob",CLE
595014,"treinen, blake",LAD
593974,"peralta, wandy",SD
592836,"walker, taijuan",PHI
592791,"taillon, jameson",CHC
592454,"kahnle, tommy",DET
592426,"jackson, luke",SEA
592332,"gausman, kevin",TOR
573204,"thielbar, caleb",CHC
573124,"rogers, taylor",CHC
571927,"matz, steven",BOS
571510,"boyd, matt",CHC
552640,"kittredge, andrew",CHC
547973,"chapman, aroldis",BOS
519141,"pomeranz, drew",CHC
518585,"cruz, fernando",NYY
506433,"darvish, yu",SD
502085,"robertson, david",PHI
500779,"quintana, jose",MIL
477132,"kershaw, clayton",LAD
458677,"wilson, justin",BOS
453286,"scherzer, max",TOR
